,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Citizenship, field, and race/ethnicity",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,,,,
All citizenships and races/ethnicities,,,,,,,,,,,,,,,
All fields,"44,947","45,068","44,311","46,177","48,560","52,855","56,309","60,887","61,716","61,730",,,,,
S&E,"27,862","28,096","27,588","28,746","30,979","34,468","37,541","40,980","41,480","41,111",,,,,
Engineering,"5,384","5,561","5,196","5,282","5,931","6,548","7,402","8,066","8,110","7,915",,,,,
Aerospace,203,202,193,178,190,205,209,234,232,257,,,,,
Chemical,665,680,693,608,708,872,911,915,950,886,,,,,
Civil,628,647,669,685,736,830,864,935,909,902,,,,,
Electrical,"1,515","1,527","1,361","1,402","1,634","1,782","2,124","2,380","2,279","2,090",,,,,
Industrial,218,262,275,258,280,286,302,364,346,333,,,,,
Materials,454,454,381,457,494,514,611,663,665,661,,,,,
Mechanical,821,906,813,786,835,963,"1,139","1,138","1,149","1,186",,,,,
Other,880,883,811,908,"1,054","1,096","1,242","1,437","1,580","1,600",,,,,
Science,"22,478","22,535","22,392","23,464","25,048","27,920","30,139","32,914","33,370","33,196",,,,,
Natural sciences,"14,296","14,084","14,385","15,340","16,773","19,329","21,563","24,052","24,466","24,649",,,,,
Agricultural sciences,984,934,969,"1,060","1,016","1,004","1,037","1,068","1,080","1,143",,,,,
Biological sciences,"4,992","4,750","4,596","5,212","5,491","5,925","6,138","6,703","7,319","7,429",,,,,
"Earth, atmospheric, and ocean sciences",579,542,562,544,540,572,600,727,683,724,,,,,
Atmospheric sciences,87,70,68,78,77,96,95,87,106,110,,,,,
Earth sciences,393,380,404,368,369,379,430,513,469,503,,,,,
Oceanography,99,92,90,98,94,97,75,127,108,111,,,,,
Mathematics/computer sciences,"1,858","1,769","1,677","1,825","1,975","2,301","2,713","2,953","3,058","3,110",,,,,
Computer sciences,777,768,750,816,910,"1,121","1,416","1,597","1,696","1,574",,,,,
Mathematics/statistics,"1,081","1,001",927,"1,009","1,065","1,180","1,297","1,356","1,362","1,536",,,,,
Medical/other life sciences,"2,439","2,643","3,334","3,321","4,406","5,907","7,089","8,392","8,121","7,827",,,,,
Medical sciences,893,864,882,850,"1,010","1,144","1,252","1,293","1,320","1,254",,,,,
Other life sciences,"1,546","1,779","2,452","2,471","3,396","4,763","5,837","7,099","6,801","6,573",,,,,
Physical sciences,"3,444","3,446","3,247","3,378","3,345","3,620","3,986","4,209","4,205","4,416",,,,,
Astronomy,101,103,70,101,101,115,114,128,163,143,,,,,
Chemistry,"2,090","2,134","2,037","2,158","2,105","2,226","2,502","2,606","2,495","2,652",,,,,
Physics,"1,208","1,169","1,096","1,089","1,119","1,254","1,341","1,442","1,507","1,580",,,,,
Other physical sciences,45,40,44,30,20,25,29,33,40,41,,,,,
Social/behavioral sciences,"8,182","8,451","8,007","8,124","8,275","8,591","8,576","8,862","8,904","8,547",,,,,
Psychology,"4,200","4,538","4,185","4,258","4,389","4,681","4,484","4,696","4,600","4,046",,,,,
Social sciences,"3,982","3,913","3,822","3,866","3,886","3,910","4,092","4,166","4,304","4,501",,,,,
Anthropology,471,428,508,487,537,459,480,519,491,527,,,,,
Area/ethnic studies,212,216,209,176,204,184,220,226,246,226,,,,,
Economics,"1,001","1,016",961,967,978,"1,111","1,057","1,107","1,172","1,172",,,,,
History of science,23,21,20,27,20,28,34,27,34,19,,,,,
Linguistics,202,193,152,201,194,172,216,219,215,240,,,,,
Political science/public administration,"1,019","1,047",992,"1,055","1,001","1,049","1,098","1,093","1,104","1,244",,,,,
Sociology,602,550,547,598,564,534,574,573,594,635,,,,,
Other social sciences,452,442,433,355,388,373,413,402,448,438,,,,,
Non-S&E,"17,085","16,972","16,723","17,431","17,581","18,387","18,768","19,907","20,236","20,619",,,,,
U.S. citizen/permanent resident,,,,,,,,,,,,,,,
All fields,"34,113","34,105","33,382","34,551","35,807","38,512","40,334","43,888","44,509","45,019",,,,,
S&E,"19,401","19,382","19,110","19,731","21,136","23,113","24,816","27,283","27,594","27,753",,,,,
Engineering,"2,656","2,562","2,261","2,237","2,347","2,452","2,714","2,994","3,180","3,374",,,,,
Aerospace,125,101,77,72,73,91,80,108,103,137,,,,,
Chemical,364,357,354,295,340,360,423,373,417,437,,,,,
Civil,319,300,273,283,257,296,296,359,330,348,,,,,
Electrical,641,587,506,478,531,567,560,645,704,711,,,,,
Industrial,104,109,115,93,119,107,117,129,125,112,,,,,
Materials,240,217,172,198,205,191,242,286,284,281,,,,,
Mechanical,384,414,335,336,307,338,388,376,406,472,,,,,
Other,479,477,429,482,515,502,608,718,811,876,,,,,
Science,"16,745","16,820","16,849","17,494","18,789","20,661","22,102","24,289","24,414","24,379",,,,,
Natural sciences,"9,779","9,682","10,048","10,765","11,872","13,661","15,139","17,116","17,248","17,699",,,,,
Agricultural sciences,553,544,549,626,601,611,640,643,668,715,,,,,
Biological sciences,"3,724","3,579","3,443","3,901","4,118","4,330","4,377","4,713","5,091","5,310",,,,,
"Earth, atmospheric, and ocean sciences",409,362,368,376,356,360,389,481,436,477,,,,,
Atmospheric sciences,57,40,43,46,45,54,45,48,58,68,,,,,
Earth sciences,280,258,266,259,245,244,296,347,302,333,,,,,
Oceanography,72,64,59,71,66,62,48,86,76,76,,,,,
Mathematics/computer sciences,990,920,848,926,963,"1,040","1,134","1,325","1,338","1,518",,,,,
Computer sciences,402,395,410,413,455,500,551,680,667,730,,,,,
Mathematics/statistics,588,525,438,513,508,540,583,645,671,788,,,,,
Medical/other life sciences,"1,955","2,121","2,796","2,876","3,865","5,284","6,416","7,688","7,408","7,193",,,,,
Medical sciences,615,582,568,577,655,735,816,862,910,848,,,,,
Other life sciences,"1,340","1,539","2,228","2,299","3,210","4,549","5,600","6,826","6,498","6,345",,,,,
Physical sciences,"2,148","2,156","2,044","2,060","1,969","2,036","2,183","2,266","2,307","2,486",,,,,
Astronomy,76,78,53,79,75,73,73,89,117,98,,,,,
Chemistry,"1,336","1,383","1,355","1,374","1,321","1,366","1,461","1,464","1,414","1,586",,,,,
Physics,708,677,604,591,562,585,635,696,754,781,,,,,
Other physical sciences,28,18,32,16,11,12,14,17,22,21,,,,,
Social/behavioral sciences,"6,966","7,138","6,801","6,729","6,917","7,000","6,963","7,173","7,166","6,680",,,,,
Psychology,"4,042","4,381","4,042","4,059","4,191","4,452","4,230","4,450","4,359","3,770",,,,,
Social sciences,"2,924","2,757","2,759","2,670","2,726","2,548","2,733","2,723","2,807","2,910",,,,,
Anthropology,409,356,430,420,466,392,425,433,416,431,,,,,
Area/ethnic studies,180,180,180,149,168,154,187,202,190,178,,,,,
Economics,474,422,419,377,396,368,371,369,438,408,,,,,
History of science,18,20,16,24,14,21,28,16,29,12,,,,,
Linguistics,105,100,84,102,105,95,114,123,114,145,,,,,
Political science/public administration,856,859,821,827,809,806,827,811,822,919,,,,,
Sociology,510,473,474,492,460,436,466,459,477,499,,,,,
Other social sciences,372,347,335,279,308,276,315,310,321,318,,,,,
Non-S&E,"14,712","14,723","14,272","14,820","14,671","15,399","15,518","16,605","16,915","17,266",,,,,
White,,,,,,,,,,,,,,,
All fields,"26,471","25,865","25,319","25,864","26,425","28,152","29,114","31,355","31,342","31,526",,,,,
S&E,"14,975","14,663","14,620","14,926","15,765","17,082","18,057","19,929","19,824","20,004",,,,,
Engineering,"1,948","1,844","1,592","1,571","1,633","1,696","1,818","1,973","2,112","2,235",,,,,
Aerospace,108,79,65,48,61,73,60,81,81,99,,,,,
Chemical,275,271,240,209,242,275,297,250,296,312,,,,,
Civil,238,225,205,216,188,209,208,245,231,241,,,,,
Electrical,436,374,325,282,331,346,346,367,397,415,,,,,
Industrial,79,79,83,67,88,73,77,82,71,71,,,,,
Materials,191,170,135,150,159,136,163,191,209,194,,,,,
Mechanical,261,285,236,254,200,242,274,265,282,320,,,,,
Other,360,361,303,345,364,342,393,492,545,583,,,,,
Science,"13,027","12,819","13,028","13,355","14,132","15,386","16,239","17,956","17,712","17,769",,,,,
Natural sciences,"7,621","7,387","7,863","8,263","9,052","10,324","11,300","12,877","12,716","13,094",,,,,
Agricultural sciences,470,453,474,522,502,519,526,541,534,576,,,,,
Biological sciences,"2,845","2,689","2,613","2,912","3,047","3,172","3,206","3,426","3,608","3,782",,,,,
"Earth, atmospheric, and ocean sciences",344,301,332,318,311,300,328,400,349,390,,,,,
Atmospheric sciences,50,33,40,36,37,43,30,39,49,61,,,,,
Earth sciences,230,210,242,224,212,204,258,289,235,263,,,,,
Oceanography,64,58,50,58,62,53,40,72,65,66,,,,,
Mathematics/computer sciences,746,687,624,671,697,706,784,895,936,"1,042",,,,,
Computer sciences,289,287,264,282,309,308,356,437,446,483,,,,,
Mathematics/statistics,457,400,360,389,388,398,428,458,490,559,,,,,
Medical/other life sciences,"1,544","1,643","2,247","2,249","2,995","4,101","4,811","5,948","5,604","5,452",,,,,
Medical sciences,465,417,422,398,471,475,531,578,583,553,,,,,
Other life sciences,"1,079","1,226","1,825","1,851","2,524","3,626","4,280","5,370","5,021","4,899",,,,,
Physical sciences,"1,672","1,614","1,573","1,591","1,500","1,526","1,645","1,667","1,685","1,852",,,,,
Astronomy,55,52,41,61,63,62,57,63,94,85,,,,,
Chemistry,"1,030","1,028","1,031","1,078",986,"1,021","1,080","1,071",993,"1,145",,,,,
Physics,561,516,473,437,442,435,496,519,582,603,,,,,
Other physical sciences,26,18,28,15,9,8,12,14,16,19,,,,,
Social/behavioral sciences,"5,406","5,432","5,165","5,092","5,080","5,062","4,939","5,079","4,996","4,675",,,,,
Psychology,"3,186","3,373","3,104","3,145","3,057","3,241","3,034","3,171","3,036","2,664",,,,,
Social sciences,"2,220","2,059","2,061","1,947","2,023","1,821","1,905","1,908","1,960","2,011",,,,,
Anthropology,332,283,326,313,349,296,325,330,299,308,,,,,
Area/ethnic studies,123,116,106,84,93,84,91,103,109,95,,,,,
Economics,349,325,318,272,286,244,237,233,292,281,,,,,
History of science,11,15,12,20,13,17,19,13,20,11,,,,,
Linguistics,82,66,65,74,82,73,74,86,95,99,,,,,
Political science/public administration,659,636,625,596,605,591,580,573,578,622,,,,,
Sociology,375,343,340,356,352,301,337,326,321,354,,,,,
Other social sciences,289,275,269,232,243,215,242,244,246,241,,,,,
Non-S&E,"11,496","11,202","10,699","10,938","10,660","11,070","11,057","11,426","11,518","11,522",,,,,
Asian/Pacific Islander,,,,,,,,,,,,,,,
All fields,"2,297","2,440","2,184","2,259","2,464","2,695","2,996","3,251","3,201","3,203",,,,,
S&E,"1,714","1,767","1,606","1,651","1,816","2,071","2,249","2,414","2,393","2,394",,,,,
Engineering,380,398,357,292,346,372,470,508,501,504,,,,,
Aerospace,9,11,3,8,8,8,11,8,9,16,,,,,
Chemical,50,49,65,44,64,43,70,63,55,56,,,,,
Civil,37,33,30,19,25,40,44,50,38,35,,,,,
Electrical,120,127,111,112,97,128,121,156,174,156,,,,,
Industrial,13,14,10,12,14,17,10,15,17,15,,,,,
Materials,27,26,22,14,27,17,38,55,27,32,,,,,
Mechanical,67,76,49,40,52,42,66,52,45,50,,,,,
Other,57,62,67,43,59,77,110,109,136,144,,,,,
Science,"1,334","1,369","1,249","1,359","1,470","1,699","1,779","1,906","1,892","1,890",,,,,
Natural sciences,979,982,914,"1,000","1,086","1,313","1,361","1,451","1,442","1,461",,,,,
Agricultural sciences,26,24,17,28,28,22,25,24,34,34,,,,,
Biological sciences,429,399,388,475,489,508,477,563,575,567,,,,,
"Earth, atmospheric, and ocean sciences",15,25,12,15,12,16,23,11,17,15,,,,,
Atmospheric sciences,3,5,1,6,4,6,6,1,1,1,,,,,
Earth sciences,12,19,8,7,8,6,16,8,12,10,,,,,
Oceanography,0,1,3,2,0,4,1,2,4,4,,,,,
Mathematics/computer sciences,127,108,98,98,110,142,155,190,140,194,,,,,
Computer sciences,56,53,72,55,62,88,92,111,87,116,,,,,
Mathematics/statistics,71,55,26,43,48,54,63,79,53,78,,,,,
Medical/other life sciences,196,211,229,214,276,416,461,441,460,447,,,,,
Medical sciences,69,69,67,67,69,107,124,104,107,102,,,,,
Other life sciences,127,142,162,147,207,309,337,337,353,345,,,,,
Physical sciences,186,215,170,170,171,209,220,222,216,204,,,,,
Astronomy,8,4,3,5,7,6,6,6,4,3,,,,,
Chemistry,124,138,120,111,127,139,160,155,150,148,,,,,
Physics,52,73,45,53,37,62,54,60,57,53,,,,,
Other physical sciences,2,0,2,1,0,2,0,1,5,0,,,,,
Social/behavioral sciences,355,387,335,359,384,386,418,455,450,429,,,,,
Psychology,181,209,177,195,224,221,242,265,252,207,,,,,
Social sciences,174,178,158,164,160,165,176,190,198,222,,,,,
Anthropology,16,19,13,22,23,17,23,23,29,18,,,,,
Area/ethnic studies,7,11,13,17,18,13,14,16,9,10,,,,,
Economics,44,42,44,38,33,46,47,50,49,48,,,,,
History of science,0,0,0,1,0,1,2,1,1,0,,,,,
Linguistics,15,13,10,10,10,10,20,24,9,27,,,,,
Political science/public administration,44,46,41,42,38,41,38,42,45,60,,,,,
Sociology,27,33,25,25,25,26,21,23,38,38,,,,,
Other social sciences,21,14,12,9,13,11,11,11,18,21,,,,,
Non-S&E,583,673,578,608,648,624,747,837,808,809,,,,,
Black,,,,,,,,,,,,,,,
All fields,"2,147","2,091","2,268","2,362","2,725","2,854","2,884","3,452","3,478","3,645",,,,,
S&E,821,838,871,893,"1,034","1,071","1,204","1,287","1,352","1,451",,,,,
Engineering,91,98,80,94,99,101,110,117,128,139,,,,,
Aerospace,4,1,1,1,0,1,4,2,2,3,,,,,
Chemical,8,15,10,8,7,9,13,18,17,11,,,,,
Civil,8,9,11,11,6,10,9,10,9,9,,,,,
Electrical,23,28,17,19,33,28,20,24,21,30,,,,,
Industrial,6,5,6,6,10,6,11,8,18,10,,,,,
Materials,5,5,4,9,6,7,11,8,13,15,,,,,
Mechanical,24,17,16,12,18,12,13,16,23,19,,,,,
Other,13,18,15,28,19,28,29,31,25,42,,,,,
Science,730,740,791,799,935,970,"1,094","1,170","1,224","1,312",,,,,
Natural sciences,316,308,344,366,459,492,605,664,754,831,,,,,
Agricultural sciences,20,16,16,26,20,19,28,24,26,28,,,,,
Biological sciences,106,101,112,110,159,152,173,173,229,252,,,,,
"Earth, atmospheric, and ocean sciences",3,3,3,11,5,3,3,7,7,6,,,,,
Atmospheric sciences,1,0,1,2,1,0,2,2,1,2,,,,,
Earth sciences,2,3,2,6,3,2,0,3,5,4,,,,,
Oceanography,0,0,0,3,1,1,1,2,1,0,,,,,
Mathematics/computer sciences,28,26,35,36,26,37,41,51,46,57,,,,,
Computer sciences,15,9,21,17,18,19,21,30,24,30,,,,,
Mathematics/statistics,13,17,14,19,8,18,20,21,22,27,,,,,
Medical/other life sciences,94,90,109,118,185,229,305,323,369,410,,,,,
Medical sciences,36,30,29,36,46,62,74,75,73,78,,,,,
Other life sciences,58,60,80,82,139,167,231,248,296,332,,,,,
Physical sciences,65,72,69,65,64,52,55,86,77,78,,,,,
Astronomy,1,0,1,1,1,0,1,2,0,0,,,,,
Chemistry,45,56,46,47,51,37,43,64,62,66,,,,,
Physics,19,16,22,17,11,15,11,20,15,11,,,,,
Other physical sciences,0,0,0,0,1,0,0,0,0,1,,,,,
Social/behavioral sciences,414,432,447,433,476,478,489,506,470,481,,,,,
Psychology,214,240,231,241,281,275,256,278,271,259,,,,,
Social sciences,200,192,216,192,195,203,233,228,199,222,,,,,
Anthropology,20,12,25,23,26,24,21,19,18,22,,,,,
Area/ethnic studies,17,25,28,17,22,21,36,38,36,33,,,,,
Economics,22,9,19,11,19,9,18,18,15,8,,,,,
History of science,0,1,1,0,0,1,1,1,0,1,,,,,
Linguistics,1,4,1,0,4,2,5,0,2,2,,,,,
Political science/public administration,70,79,78,79,67,83,90,85,67,94,,,,,
Sociology,50,42,44,51,40,44,45,47,45,48,,,,,
Other social sciences,20,20,20,11,17,19,17,20,16,14,,,,,
Non-S&E,"1,326","1,253","1,397","1,469","1,691","1,783","1,680","2,165","2,126","2,194",,,,,
Hispanic,,,,,,,,,,,,,,,
All fields,"1,382","1,594","1,503","1,609","1,739","1,914","1,980","2,138","2,410","2,419",,,,,
S&E,775,905,840,878,"1,057","1,121","1,190","1,301","1,499","1,335",,,,,
Engineering,86,88,88,106,101,98,105,138,130,153,,,,,
Aerospace,2,7,3,4,3,4,0,7,3,8,,,,,
Chemical,18,8,17,13,9,20,20,16,20,22,,,,,
Civil,11,14,6,14,21,13,16,25,14,21,,,,,
Electrical,17,17,26,22,19,14,11,33,27,27,,,,,
Industrial,3,4,9,2,2,4,12,12,9,6,,,,,
Materials,7,10,5,9,6,13,12,9,7,10,,,,,
Mechanical,10,16,11,15,13,14,12,13,17,28,,,,,
Other,18,12,11,27,28,16,22,23,33,31,,,,,
Science,689,817,752,772,956,"1,023","1,085","1,163","1,369","1,182",,,,,
Natural sciences,319,386,342,382,468,503,573,619,803,727,,,,,
Agricultural sciences,13,21,20,16,17,14,36,15,18,21,,,,,
Biological sciences,149,155,139,171,186,216,212,226,274,282,,,,,
"Earth, atmospheric, and ocean sciences",9,10,4,8,10,11,12,18,17,14,,,,,
Atmospheric sciences,1,0,1,1,0,1,2,2,2,0,,,,,
Earth sciences,6,6,1,3,10,9,10,12,13,12,,,,,
Oceanography,2,4,2,4,0,1,0,4,2,2,,,,,
Mathematics/computer sciences,25,29,28,28,41,38,33,38,45,58,,,,,
Computer sciences,13,12,19,11,18,17,6,17,16,23,,,,,
Mathematics/statistics,12,17,9,17,23,21,27,21,29,35,,,,,
Medical/other life sciences,56,90,82,94,141,148,187,230,337,237,,,,,
Medical sciences,16,28,22,29,31,30,34,51,84,38,,,,,
Other life sciences,40,62,60,65,110,118,153,179,253,199,,,,,
Physical sciences,67,81,69,65,73,76,93,92,112,115,,,,,
Astronomy,3,4,1,2,2,2,1,5,3,4,,,,,
Chemistry,45,59,48,44,58,57,70,65,89,86,,,,,
Physics,19,18,19,19,13,16,21,22,20,25,,,,,
Other physical sciences,0,0,1,0,0,1,1,0,,,,,,,
Social/behavioral sciences,370,431,410,390,488,520,512,544,566,455,,,,,
Psychology,267,308,297,247,339,388,367,417,420,316,,,,,
Social sciences,103,123,113,143,149,132,145,127,146,139,,,,,
Anthropology,8,19,20,29,37,20,25,18,29,34,,,,,
Area/ethnic studies,7,9,10,8,13,12,13,14,11,8,,,,,
Economics,18,18,13,20,25,22,21,22,16,18,,,,,
History of science,1,2,0,0,0,1,2,1,0,0,,,,,
Linguistics,1,5,3,4,2,3,4,3,3,4,,,,,
Political science/public administration,28,34,35,36,43,35,35,34,36,37,,,,,
Sociology,24,24,22,37,24,29,37,23,38,22,,,,,
Other social sciences,16,12,10,9,5,10,8,12,13,16,,,,,
Non-S&E,607,689,663,731,682,793,790,837,911,"1,084",,,,,
American Indian/Alaska Native,,,,,,,,,,,,,,,
All fields,155,170,175,185,206,224,214,232,244,282,,,,,
S&E,82,88,84,106,117,109,111,128,139,154,,,,,
Engineering,5,10,6,12,8,6,7,8,15,19,,,,,
Aerospace,0,0,0,0,0,1,0,0,1,0,,,,,
Chemical,0,3,1,1,1,0,1,1,2,5,,,,,
Civil,1,0,1,0,1,0,0,3,2,3,,,,,
Electrical,1,3,0,3,3,0,2,1,2,2,,,,,
Industrial,0,0,0,0,0,0,1,0,1,0,,,,,
Materials,0,0,1,0,0,1,0,0,1,1,,,,,
Mechanical,2,2,2,1,1,2,2,1,3,2,,,,,
Other,1,2,1,7,2,2,1,2,3,6,,,,,
Science,77,78,78,94,109,103,104,120,124,135,,,,,
Natural sciences,34,33,36,39,53,56,50,62,74,83,,,,,
Agricultural sciences,2,1,0,1,7,4,1,3,8,5,,,,,
Biological sciences,8,14,14,18,16,18,19,23,20,27,,,,,
"Earth, atmospheric, and ocean sciences",6,0,0,1,3,3,0,2,2,2,,,,,
Atmospheric sciences,0,0,0,0,1,1,0,0,0,0,,,,,
Earth sciences,5,0,0,1,2,2,0,1,2,1,,,,,
Oceanography,1,0,0,0,0,0,0,1,0,1,,,,,
Mathematics/computer sciences,2,3,2,2,1,0,6,4,2,5,,,,,
Computer sciences,0,1,1,1,1,0,6,3,0,2,,,,,
Mathematics/statistics,2,2,1,1,0,0,0,1,2,3,,,,,
Medical/other life sciences,8,10,11,11,14,24,15,23,37,34,,,,,
Medical sciences,4,4,2,4,2,2,3,5,5,7,,,,,
Other life sciences,4,6,9,7,12,22,12,18,32,27,,,,,
Physical sciences,8,5,9,6,12,7,9,7,5,10,,,,,
Astronomy,1,0,0,0,0,0,0,0,0,0,,,,,
Chemistry,7,5,7,6,9,6,6,3,4,7,,,,,
Physics,0,0,2,0,3,1,3,4,1,3,,,,,
Other physical sciences,0,0,0,0,0,0,0,0,0,0,,,,,
Social/behavioral sciences,43,45,42,55,56,47,54,58,50,52,,,,,
Psychology,28,27,24,31,36,29,32,36,31,23,,,,,
Social sciences,15,18,18,24,20,18,22,22,19,29,,,,,
Anthropology,4,3,6,6,5,4,4,6,1,6,,,,,
Area/ethnic studies,2,2,3,2,3,4,5,6,6,11,,,,,
Economics,0,0,0,2,1,0,2,2,1,1,,,,,
History of science,0,0,0,0,0,0,0,0,0,0,,,,,
Linguistics,0,1,0,0,0,0,1,1,2,0,,,,,
Political science/public administration,3,7,1,4,4,3,4,0,6,6,,,,,
Sociology,4,4,7,6,1,5,0,4,3,3,,,,,
Other social sciences,2,1,1,4,6,2,6,3,0,2,,,,,
Non-S&E,73,82,91,79,89,115,103,104,105,128,,,,,
Other/unknown race/ethnicity,,,,,,,,,,,,,,,
All fields,"1,661","1,945","1,933","2,272","2,248","2,673","3,146","3,460","3,834","3,944",,,,,
S&E,"1,034","1,121","1,089","1,277","1,347","1,659","2,005","2,224","2,387","2,415",,,,,
Engineering,146,124,138,162,160,179,204,250,294,324,,,,,
Aerospace,2,3,5,11,1,4,5,10,7,11,,,,,
Chemical,13,11,21,20,17,13,22,25,27,31,,,,,
Civil,24,19,20,23,16,24,19,26,36,39,,,,,
Electrical,44,38,27,40,48,51,60,64,83,81,,,,,
Industrial,3,7,7,6,5,7,6,12,9,10,,,,,
Materials,10,6,5,16,7,17,18,23,27,29,,,,,
Mechanical,20,18,21,14,23,26,21,29,36,53,,,,,
Other,30,22,32,32,43,37,53,61,69,70,,,,,
Science,888,997,951,"1,115","1,187","1,480","1,801","1,974","2,093","2,091",,,,,
Natural sciences,510,586,549,715,754,973,"1,250","1,443","1,459","1,503",,,,,
Agricultural sciences,22,29,22,33,27,33,24,36,48,51,,,,,
Biological sciences,187,221,177,215,221,264,290,302,385,400,,,,,
"Earth, atmospheric, and ocean sciences",32,23,17,23,15,27,23,43,44,50,,,,,
Atmospheric sciences,2,2,0,1,2,3,5,4,5,4,,,,,
Earth sciences,25,20,13,18,10,21,12,34,35,43,,,,,
Oceanography,5,1,4,4,3,3,6,5,4,3,,,,,
Mathematics/computer sciences,62,67,61,91,88,117,115,147,169,162,,,,,
Computer sciences,29,33,33,47,47,68,70,82,94,76,,,,,
Mathematics/statistics,33,34,28,44,41,49,45,65,75,86,,,,,
Medical/other life sciences,57,77,118,190,254,366,637,723,601,613,,,,,
Medical sciences,25,34,26,43,36,59,50,49,58,70,,,,,
Other life sciences,32,43,92,147,218,307,587,674,543,543,,,,,
Physical sciences,150,169,154,163,149,166,161,192,212,227,,,,,
Astronomy,8,18,7,10,2,3,8,13,16,6,,,,,
Chemistry,85,97,103,88,90,106,102,106,116,134,,,,,
Physics,57,54,43,65,56,56,50,71,79,86,,,,,
Other physical sciences,0,0,1,0,1,1,1,2,1,1,,,,,
Social/behavioral sciences,378,411,402,400,433,507,551,531,634,588,,,,,
Psychology,166,224,209,200,254,298,299,283,349,301,,,,,
Social sciences,212,187,193,200,179,209,252,248,285,287,,,,,
Anthropology,29,20,40,27,26,31,27,37,40,43,,,,,
Area/ethnic studies,24,17,20,21,19,20,28,25,19,21,,,,,
Economics,41,28,25,34,32,47,46,44,65,52,,,,,
History of science,6,2,3,3,1,1,4,0,8,0,,,,,
Linguistics,6,11,5,14,7,7,10,9,3,13,,,,,
Political science/public administration,52,57,41,70,52,53,80,77,90,100,,,,,
Sociology,30,27,36,17,18,31,26,36,32,34,,,,,
Other social sciences,24,25,23,14,24,19,31,20,28,24,,,,,
Non-S&E,627,824,844,995,901,"1,014","1,141","1,236","1,447","1,529",,,,,
Temporary resident,,,,,,,,,,,,,,,
All fields,"10,834","10,963","10,929","11,626","12,753","14,343","15,975","16,999","17,207","16,711",,,,,
S&E,"8,461","8,714","8,478","9,015","9,843","11,355","12,725","13,697","13,886","13,358",,,,,
Engineering,"2,728","2,999","2,935","3,045","3,584","4,096","4,688","5,072","4,930","4,541",,,,,
Aerospace,78,101,116,106,117,114,129,126,129,120,,,,,
Chemical,301,323,339,313,368,512,488,542,533,449,,,,,
Civil,309,347,396,402,479,534,568,576,579,554,,,,,
Electrical,874,940,855,924,"1,103","1,215","1,564","1,735","1,575","1,379",,,,,
Industrial,114,153,160,165,161,179,185,235,221,221,,,,,
Materials,214,237,209,259,289,323,369,377,381,380,,,,,
Mechanical,437,492,478,450,528,625,751,762,743,714,,,,,
Other,401,406,382,426,539,594,634,719,769,724,,,,,
Science,"5,733","5,715","5,543","5,970","6,259","7,259","8,037","8,625","8,956","8,817",,,,,
Natural sciences,"4,517","4,402","4,337","4,575","4,901","5,668","6,424","6,936","7,218","6,950",,,,,
Agricultural sciences,431,390,420,434,415,393,397,425,412,428,,,,,
Biological sciences,"1,268","1,171","1,153","1,311","1,373","1,595","1,761","1,990","2,228","2,119",,,,,
"Earth, atmospheric, and ocean sciences",170,180,194,168,184,212,211,246,247,247,,,,,
Atmospheric sciences,30,30,25,32,32,42,50,39,48,42,,,,,
Earth sciences,113,122,138,109,124,135,134,166,167,170,,,,,
Oceanography,27,28,31,27,28,35,27,41,32,35,,,,,
Mathematics/computer sciences,868,849,829,899,"1,012","1,261","1,579","1,628","1,720","1,592",,,,,
Computer sciences,375,373,340,403,455,621,865,917,"1,029",844,,,,,
Mathematics/statistics,493,476,489,496,557,640,714,711,691,748,,,,,
Medical/other life sciences,484,522,538,445,541,623,673,704,713,634,,,,,
Medical sciences,278,282,314,273,355,409,436,431,410,406,,,,,
Other life sciences,206,240,224,172,186,214,237,273,303,228,,,,,
Physical sciences,"1,296","1,290","1,203","1,318","1,376","1,584","1,803","1,943","1,898","1,930",,,,,
Astronomy,25,25,17,22,26,42,41,39,46,45,,,,,
Chemistry,754,751,682,784,784,860,"1,041","1,142","1,081","1,066",,,,,
Physics,500,492,492,498,557,669,706,746,753,799,,,,,
Other physical sciences,17,22,12,14,9,13,15,16,18,20,,,,,
Social/behavioral sciences,"1,216","1,313","1,206","1,395","1,358","1,591","1,613","1,689","1,738","1,867",,,,,
Psychology,158,157,143,199,198,229,254,246,241,276,,,,,
Social sciences,"1,058","1,156","1,063","1,196","1,160","1,362","1,359","1,443","1,497","1,591",,,,,
Anthropology,62,72,78,67,71,67,55,86,75,96,,,,,
Area/ethnic studies,32,36,29,27,36,30,33,24,56,48,,,,,
Economics,527,594,542,590,582,743,686,738,734,764,,,,,
History of science,5,1,4,3,6,7,6,11,5,7,,,,,
Linguistics,97,93,68,99,89,77,102,96,101,95,,,,,
Political science/public administration,163,188,171,228,192,243,271,282,282,325,,,,,
Sociology,92,77,73,106,104,98,108,114,117,136,,,,,
Other social sciences,80,95,98,76,80,97,98,92,127,120,,,,,
Non-S&E,"2,373","2,249","2,451","2,611","2,910","2,988","3,250","3,302","3,321","3,353",,,,,